status_id,text
1238200663957520389,Can’t wait to tell my kids the #Terps didn’t lose a single game in the postseason.
1236853188956954625,Congratulations to the University of Maryland Terrapins men's basketball team for winning their first Big Ten Championship! https://t.co/HEHcHMRBO7
1236101526197858304,Johns Hopkins University on Friday hosted the opening rounds of the NCAA Division III men’s basketball tournament inside an empty Baltimore gym — the day after Maryland confirmed three cases of coronavirus https://t.co/dPU24tu1z7
1236769654477029388,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS
1237449932505743362,"Nuovo importante appello dalle principali associazioni italiane di interpreti e traduttori, che rappresentano oltre 5mila professionisti
#AITInforma #1nt #terps #conf1nt #proterps #xl8 #t9n #uncrownthevirus #COVID19 https://t.co/b45vfnfybj"
1236786774925627393,@TerrapinHoops @CoachTurgeon https://t.co/I6Hws57Gh5
1238289760063545346,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
1236683046109282305,"Live-Blogging of a @B1GMenBBall game, between @umichbball and @TerrapinHoops, coming up shortly. A Terrapin equals number 1 seed in #BigTen Tournament for @BadgerMBB. #MICHvsMD https://t.co/QALyO38JME"
1235618879033839618,"@marchmadness @NaismithTrophy @KUHoops @DukeMBB @Aztec_MBB @IowaHoops @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @DaytonFlyers Why is Trent Forest not on this list,🍢🍢"
1238381832774828032,Mark Turgeon shares his thoughts with @notthefakeSVP on an unprecedented day in sports history. (2/2) https://t.co/8B8yPe419h
1236869913572188162,How sweet it is!  Thank you for all of your hard work &amp; support @DBKSports!
1236676150753181699,"Seriously, what a huge heart! Thank you, Cowan! They have been so excited for this opportunity! It was so kind of you to share YOUR #SeniorDay with him. We are proud of you! Go, #Terps! #DreamComeTrue #AmazingAnthony 🏀 #ballislife but #KindnessCOWANts ❤️"
1233971176080277506,@CoachNegative @CoachTurgeon @team980 @TerrapinHoops He needs to be fired https://t.co/9JEVW2BXkS
1236731024509468677,"Maryland coach Mark Turgeon earns a $50,000 for earning at least a share of the Big Ten regular season title.

Maryland's assistant coaches each receive a $7,500 bonus."
1236719080339640328,"It's early, but it sure looks like @TerrapinHoops wants a piece of that B1G 🏆. https://t.co/qpLJ4lY69S"
1236802235947986945,MARYLAND FROM THE TOP ROPE!!!! #FuckMichigan
1236883200892440576,"“Anthony came back to hang a banner. He gets to hang a banner,"" coach Mark Turgeon said.

https://t.co/Plf3NStJgp"
1238455591053516802,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
1233878169737932800,"Damn, what a scene at Maryland.  It's gonna rock tonight! @TerrapinHoops @MSU_Basketball"
1236719924153856004,@BetsJonny @marchmadness @umterps @TerrapinHoops Who frickin cares about wisconsin
1236773586955886592,@CoachTurgeon @TerrapinHoops MAZEL MARK!
1236678848827117569,@TerrapinHoops @AnthonyCowanJr 🔥🔥🔥
1235627484558704640,"With Illinois playing tonight on the road at Ohio State, I took at look at who's atop the Big Ten as of this morning (yes that includes the #Badgers, of course) and who the Spartans and Terps face heading into the final weekend of the regular season:

https://t.co/b5BITz0v64"
1238297058307686401,"You did a great job and whoever follows you on the beat will have big shoes to fill. Hopefully we will work together again, in some capacity."
1238202703773184001,ONCE AGAIN ANOTHER EARLY EXIT FROM MARK TURGEON IN THE NCAA TOURNAMENT SMH
1236755572831199232,"""Whenever I come here, whenever I come back, it's always going to be home."" 

Maryland native @AnthonyCowanJr caught up with @TheAndyKatz after his final home game for @TerrapinHoops on what it all means to him ⬇️ https://t.co/hMAcAcqCa6"
1233953162010251266,@DaceyTed @benjholler @TerrapinHoops I’d think that if we were 29-0 you’d still not be satisfied.
1233943972311175168,@TerrapinHoops Way to embarrass them.
1233923140474068993,#Terps That loud ringing sound is the alarm clock going off.
1235600564018442246,@Jack_Otweets in honor of Liz Warren herself i would like Brenda Frese to coach the Maryland Men’s Basketball team
1237371962420314113,"🏆 @TerrapinHoops, @MSU_Basketball &amp; @BadgerMBB all added to their trophy cases over the weekend!

See who has the most regular season titles in @bigten history 👇 https://t.co/PHt3iG0dsu"
1233890604066668545,"#9 Maryland hosts #24 Michigan State as a 3 point favourite tonight! 🏀

#FearTheTurtle #Maryland #GoGreen #SpartanDawgs https://t.co/lcZU0D8brl"
1236719016137408513,"So great to see @TerrapinHoops get the win this afternoon on senior day! 🐢🏀

#Terps | #FearTheTurtle"
1234289720450043905,"Seth Davis, noted basketball genius.. https://t.co/fKqNs1K2dO"
1235595508623663104,@NaismithTrophy @CitizenWatchUS @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @BIGEAST @pac12 @bigten @atlantic10 Jalen Smith.
1236711875590721536,Joe Smith was player of the year ... Jalen Smith ballin’ LARGE! #MarylandTerrapins #Terps #Big10 jus sayin #BigTruss
1238293632081367042,"Mark Turgeon: “If there is a silver lining, our last moment together was cutting down nets and winning a share of the Big Ten regular season championship”"
1236680972265013248,"Four years ago, Will Clark was still playing pick-up games at the Eppley Recreation courts. 

Now, he's being recognized prior to Maryland basketball's season finale against Michigan, his teammates messing with his hair. 

Quite the rise for the walk-on.

https://t.co/a1vIHmQuzl"
1236084880750137344,Plumber’s Joint with some juicypapers to get the weekend started 😁  #hemp #hempflower #organic #cbd #cbdflower  #cannabis #cannabiscommunity #bud #cbdbud #happybudzhemp  #terpenes #terps  #artofrolling #joints… https://t.co/ybJRwQ8hCx
1236715734568484870,"@SethOnHoops @TerrapinHoops When Ayala is in attack mode and Wiggy is hitting shots, this is a tough team to stop. #FearTheTurtle"
1233957208486039552,Don't ever speak on our mans ever again @TerrapinHoops
1238195853057196033,@KBBldServices @Lucas4westside @CPVarsitySports @athletics66 Why is Mark Turgeon there?
1236695033337831431,"#GamblingTwitter #MarchMadness #Terps #wolverines #ncaa #parlays 

Like i said.. soon as you join you are@making money.. subscriber joins Thursday and goes 18-5 first 3 days.. doubles his unit values https://t.co/eqt8y6pj1t"
1238354732000960512,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
1235980171750109188,A top local DE didn't include the #terps among his top foremost contenders; can UMD change his mind in the months ahead? https://t.co/OaSXqPyuNv
1233974003620044801,"Wrestlers: 7-0 at home + NCAA attendance record.

Women: 36 straight at home, second longest in nation.

Men: Just won 13th straight at home &amp; with Maryland’s loss tonight is lone B1G team that is unbeaten in conference play.

What a winter at Carver.
https://t.co/EdAE0UlfvA"
1236720305290260481,"@TerrapinHoops We have a super young team and regardless of the downs this season 
I’m proud of Mark and all the players for their grittiness  
Now let’s make a run 🔥🔥"
